CUI,edit_score,mesh,ont_source,pref_name,term
C0000727,12,"Abdomen, Acute",ICD10CM,"Abdomen, Acute",Acute abdomen
C0000737,0,Abdominal Pain,NCI,Abdominal Pain,Abdominal Pain
C0000737,14,Abdominal Pain,ICD10CM,Abdominal Pain,Unspecified abdominal pain
C0000744,0,Abetalipoproteinemia,ICD10CM,Abetalipoproteinemia,Abetalipoproteinemia
C0000744,0,Abetalipoproteinemia,NCI,Abetalipoproteinemia,Abetalipoproteinemia
C0000768,0,Congenital Abnormalities,NCI,Congenital Abnormality,Congenital Abnormality
C0000768,4,Congenital Abnormalities,NCI,Congenital Abnormality,Congenital Anomaly
C0000768,5,Congenital Abnormalities,NCI,Congenital Abnormality,Congenital Deformity
C0000768,7,Congenital Abnormalities,NCI,Congenital Abnormality,Congenital Malformation
C0000768,8,Congenital Abnormalities,ICD10CM,Congenital Abnormality,Congenital anomaly NOS
C0000768,9,Congenital Abnormalities,ICD10CM,Congenital Abnormality,Congenital deformity NOS
C0000768,9,Congenital Abnormalities,NCI,Congenital Abnormality,Congenital Anatomic Abnormality
C0000768,10,Congenital Abnormalities,NCI,Congenital Abnormality,Congenital Defect
C0000768,11,Congenital Abnormalities,NCI,Congenital Abnormality,Congenital Anatomical Abnormality
C0000768,17,Congenital Abnormalities,NCI,Congenital Abnormality,Congenital Anomaly or Birth Defect
C0000768,19,Congenital Abnormalities,NCI,Congenital Abnormality,Birth Defect
C0000768,20,Congenital Abnormalities,ICD10CM,Congenital Abnormality,"Congenital malformation, unspecified"
C0000772,0,"Abnormalities, Multiple",ICD10CM,Multiple congenital anomalies NOS,Multiple congenital anomalies NOS
C0000772,6,"Abnormalities, Multiple",ICD10CM,Multiple congenital anomalies NOS,Multiple congenital deformities NOS
C0000772,18,"Abnormalities, Multiple",NCI,Multiple congenital anomalies NOS,Multiple Abnormalities
C0000786,0,"Abortion, Spontaneous",ICD10CM,Spontaneous abortion,Spontaneous abortion
C0000786,1,"Abortion, Spontaneous",NCI,Spontaneous abortion,Spontaneous Abortion
C0000786,4,"Abortion, Spontaneous",ICD10CM,Spontaneous abortion,Spontaneous abortion NOS
C0000786,17,"Abortion, Spontaneous",ICD10CM,Spontaneous abortion,miscarriage
C0000786,17,"Abortion, Spontaneous",NCI,Spontaneous abortion,Miscarriage
C0000786,18,"Abortion, Spontaneous",ICD10CM,Spontaneous abortion,Miscarriage NOS
C0000814,0,"Abortion, Missed",ICD10CM,Missed abortion,Missed abortion
C0000814,1,"Abortion, Missed",NCI,Missed abortion,Missed Abortion
C0000821,0,"Abortion, Threatened",ICD10CM,Threatened abortion,Threatened abortion
C0000821,1,"Abortion, Threatened",NCI,Threatened abortion,Threatened Abortion
C0000832,0,Abruptio Placentae,NCI,Abruptio Placentae,Abruptio Placentae
C0000832,5,Abruptio Placentae,ICD10CM,Abruptio Placentae,Abruptio placentae NOS
C0000832,17,Abruptio Placentae,NCI,Abruptio Placentae,Placental Abruption
C0000832,19,Abruptio Placentae,NCI,Abruptio Placentae,Premature Separation of Placenta
C0000832,31,Abruptio Placentae,ICD10CM,Abruptio Placentae,"Premature separation of placenta, unspecified"
C0000832,37,Abruptio Placentae,ICD10CM,Abruptio Placentae,Premature separation of placenta [abruptio placentae]
C0000832,40,Abruptio Placentae,ICD10CM,Abruptio Placentae,"Premature separation of placenta, unsp, unsp trimester"
C0000832,54,Abruptio Placentae,ICD10CM,Abruptio Placentae,"Premature separation of placenta, unspecified, unspecified trimester"
C0000833,0,Abscess,NCI,Abscess,Abscess
C0000880,0,Acanthamoeba Keratitis,NCI,Acanthamoeba Keratitis,Acanthamoeba Keratitis
C0000887,0,Acantholysis,NCI,Acantholysis,Acantholysis
C0000889,0,Acanthosis Nigricans,NCI,Acanthosis Nigricans,Acanthosis Nigricans
C0000889,1,Acanthosis Nigricans,ICD10CM,Acanthosis Nigricans,Acanthosis nigricans
C0001075,0,Achlorhydria,ICD10CM,Achlorhydria,Achlorhydria
C0001075,0,Achlorhydria,NCI,Achlorhydria,Achlorhydria
C0001080,0,Achondroplasia,ICD10CM,Achondroplasia,Achondroplasia
C0001080,0,Achondroplasia,NCI,Achondroplasia,Achondroplasia
C0001080,19,Achondroplasia,ICD10CM,Achondroplasia,Osteosclerosis congenita
C0001122,0,Acidosis,ICD10CM,Acidosis,Acidosis
C0001122,0,Acidosis,NCI,Acidosis,Acidosis
C0001122,4,Acidosis,ICD10CM,Acidosis,Acidosis NOS
