CSBC PSON Center,Consortium,PubMed,Journal,Publication Year,Title,Authors,Grant,Data Location,Synapse Location,Keywords,Abstract,grantType,datasets,studies,tissue_or_organ,diseaseType,experimentalStrategy,featured,dataset name,study name,doi,site,institution,Theme,modifiedOn,tissue_or_organ.sv,diseaseType.sv,experimentalStrategy.sv,Theme.sv,MeSH,MeSH2,sim_text,center
syn9773338,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28931656,Sci Transl Med,2017,Single-cell analyses to tailor treatments,"Shalek AK, Benson M",U54 CA217377,,,scRNA-Seq,"Single-cell RNA-seq could play a key role in personalized medicine by facilitating characterization of cells, pathways, and genes associated with human diseases such as cancer.",U54,,,,,,,,,,,,,,,,,scRNA-Seq,"Disease|Humans|Precision Medicine|Sequence Analysis, RNA|Single-Cell Analysis/methods|Translational Medical Research","Disease|Humans|Precision Medicine|Sequence Analysis, RNA|Single-Cell Analysis/methods|Translational Medical Research",singl rna seq could play key role person medicin facilit character pathway human diseas cancer.,Quantitative and Functional Characterization of Therapeutic Resistance in Cancer
syn9773338,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29151572,Nat Commun,2017,Determining therapeutic susceptibility in multiple myeloma by single-cell mass accumulation,"Cetin AE, Stevens MM, Calistri NL, Fulciniti M, Olcum S, Kimmerling RJ, Munshi NC, Manalis SR",U54 CA217377,,,"single-cell,multiple myeloma","Multiple myeloma (MM) has benefited from significant advancements in treatment that have improved outcomes and reduced morbidity. However, the disease remains incurable and is characterized by high rates of drug resistance and relapse. Consequently, methods to select the most efficacious therapy are of great interest. Here we utilize a functional assay to assess the ex vivo drug sensitivity of single multiple myeloma cells based on measuring their mass accumulation rate (MAR). We show that MAR accurately and rapidly defines therapeutic susceptibility across human multiple myeloma cell lines to a gamut of standard-of-care therapies. Finally, we demonstrate that our MAR assay, without the need for extended culture ex vivo, correctly defines the response of nine patients to standard-of-care drugs according to their clinical diagnoses. This data highlights the MAR assay in both research and clinical applications as a promising tool for predicting therapeutic response using clinical samples.",U54,,,Blood,Multiple Myeloma,cellular mass,,,,,,,drug resistance/sensitivity,,,,,"single-cell,multiple myeloma","Antineoplastic Agents/pharmacology|Apoptosis/drug effects|Cell Line, Tumor|Cell Proliferation/drug effects|Humans|Kinetics|Multiple Myeloma/drug therapy|Single-Cell Analysis/methods","Antineoplastic Agents/pharmacology|Apoptosis/drug effects|Cell Line, Tumor|Cell Proliferation/drug effects|Humans|Kinetics|Multiple Myeloma/drug therapy|Single-Cell Analysis/methods",multipl myeloma mm benefit advanc treatment improv outcom reduc morbid diseas remain incur character high rate drug resist relaps consequ select efficaci therapi great interest util function assay ex vivo drug sensit singl multipl myeloma base measur mass accumul rate mar mar accur rapidli defin therapeut suscept across human multipl myeloma line gamut standard care therapi final mar assay without need extend cultur ex vivo correctli defin respons nine patient standard care drug accord clinic diagnos highlight mar assay research clinic applic promis tool predict therapeut respons clinic samples.,Quantitative and Functional Characterization of Therapeutic Resistance in Cancer
syn9773338,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29376520,Nat Rev Cancer,2018,Targeting minimal residual disease: a path to cure?,"Luskin MR, Murakami MA, Manalis SR, Weinstock DM",U54 CA217377,,,review,"Therapeutics that block kinases, transcriptional modifiers, immune checkpoints and other biological vulnerabilities are transforming cancer treatment. As a result, many patients achieve dramatic responses, including complete radiographical or pathological remission, yet retain minimal residual disease (MRD), which results in relapse. New functional approaches can characterize clonal heterogeneity and predict therapeutic sensitivity of MRD at a single-cell level. Preliminary evidence suggests that iterative detection, profiling and targeting of MRD would meaningfully improve outcomes and may even lead to cure.",U54,,,not reported,Not Applicable,Not Applicable,,,,,,,drug resistance/sensitivity,,,,,review,"Drug Therapy|Humans|Leukemia, Myelogenous, Chronic, BCR-ABL Positive/pathology|Leukemia, Myelogenous, Chronic, BCR-ABL Positive/therapy|Neoplasm, Residual/pathology|Neoplasm, Residual/therapy|Precision Medicine/methods|Treatment Outcome","Drug Therapy|Humans|Leukemia, Myelogenous, Chronic, BCR-ABL Positive/pathology|Leukemia, Myelogenous, Chronic, BCR-ABL Positive/therapy|Neoplasm, Residual/pathology|Neoplasm, Residual/therapy|Precision Medicine/methods|Treatment Outcome",therapeut block kinas transcript modifi immun checkpoint biolog vulner transform treatment mani patient achiev dramat respons complet radiograph patholog remiss yet retain minim residu diseas mrd relaps new function approach character clonal heterogen predict therapeut sensit mrd singl preliminari evid iter detect profil target mrd would meaning improv outcom even lead cure.,Quantitative and Functional Characterization of Therapeutic Resistance in Cancer
syn9773346,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28419278,Nucleic Acids Res,2017,Integrative analysis identifies targetable CREB1/FoxA1 transcriptional co-regulation as a predictor of prostate cancer recurrence,"Sunkel B, Wu D, Chen Z, Wang CM, Liu X, Ye Z, Horning AM, Liu J, Mahalingam D, Lopez-Nicora H, Lin CL, Goodfellow PJ, Clinton SK, Jin VX, Chen CL, Huang TH, Wang Q",U54 CA217297,,,,Integrative analysis identifies targetable CREB1/FoxA1 transcriptional co-regulation as a predictor of prostate cancer recurrence,U54,,,,,,,,,,,,,,,,,,,,integr target creb1foxa1 transcript co regul predictor prostat recurr,Systems Analysis of Epigenomic Architecture in Cancer Progression
syn9773346,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28620196,Sci Rep,2017,Integration of DNA methylation and gene transcription across nineteen cell types reveals cell type-specific and genomic region-dependent regulatory patterns,"Tang B, Zhou Y, Wang CM, Huang TH, Jin VX",U54 CA217297,,,"DNAmethylation, regression","Despite numerous studies done on understanding the role of DNA methylation, limited work has focused on systems integration of cell type-specific interplay between DNA methylation and gene transcription. Through a genome-wide analysis of DNA methylation across 19 cell types with T-47D as reference, we identified 106,252 cell type-specific differentially-methylated CpGs categorized into 7,537 differentially (46.6% hyper- and 53.4% hypo-) methylated regions. We found 44% promoter regions and 75% CpG islands were T-47D cell type-specific methylated. Pyrosequencing experiments validated the cell type-specific methylation across three benchmark cell lines. Interestingly, these DMRs overlapped with 1,145 known tumor suppressor genes. We then developed a Bayesian Gaussian Regression model to measure the relationship among DNA methylation, genomic segment distribution, differential gene expression and tumor suppressor gene status. The model uncovered that 3'UTR methylation has much less impact on transcriptional activity than other regions. Integration of DNA methylation and 82 transcription factor binding information across the 19 cell types suggested diverse interplay patterns between the two regulators. Our integrative analysis reveals cell type-specific and genomic region-dependent regulatory patterns and provides a perspective for integrating hundreds of various omics-seq data together.",U54,,,,,,,,,,,,,,,,,"DNAmethylation, regression","Cell Line|Cell Line, Tumor|CpG Islands|DNA Methylation|Gene Expression Profiling|Gene Expression Regulation|Genomics/methods|High-Throughput Nucleotide Sequencing|Humans|Organ Specificity|Regulatory Sequences, Nucleic Acid|Transcription, Genetic","Cell Line|Cell Line, Tumor|CpG Islands|DNA Methylation|Gene Expression Profiling|Gene Expression Regulation|Genomics/methods|High-Throughput Nucleotide Sequencing|Humans|Organ Specificity|Regulatory Sequences, Nucleic Acid|Transcription, Genetic",despit numer done understand role dna methyl limit work focus system integr type specif interplay dna methyl transcript genom wide dna methyl across type 47d refer type specif differenti methyl cpg categor differenti 46 hyper hypo methyl region promot region cpg island 47d type specif methyl pyrosequenc experi valid type specif methyl across three benchmark line interestingli dmr overlap known suppressor bayesian gaussian regress model measur relationship among dna methyl genom segment distribut differenti suppressor statu model uncov utr methyl much less impact transcript region integr dna methyl transcript factor bind inform across type divers interplay pattern regul integr reveal type specif genom region depend regulatori pattern provid perspect integr hundr variou omic seq together.,Systems Analysis of Epigenomic Architecture in Cancer Progression
syn9773346,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28809778,Int J Mol Sci,2017,"Reprimo, a Potential p53-Dependent Tumor Suppressor Gene, Is Frequently Hypermethylated in Estrogen Receptor -Positive Breast Cancer","Buchegger K, Riquelme I, Viscarra T, Ili C, Brebi P, Huang TH, Roa JC",U54 CA217297,,,"DNAmethylation, breast cancer","Aberrant DNA methylation is a hallmark of many cancers. Currently, there are four intrinsic molecular subtypes in breast cancer (BC): Luminal A, B, Her2-positive, and triple negative (TNBC). Recently, The Cancer Genome Atlas (TCGA) project has revealed that Luminal subtypes have higher levels of genome-wide methylation that may be a result of Estrogen/Estrogen receptor α (E2/ERα) signaling pathway activation. In this study, we analyze promoter CpG-island (CGIs) of the <i>Reprimo (RPRM)</i> gene in breast cancers (<i>n</i> = 77), cell lines (<i>n</i> = 38), and normal breast tissue (<i>n</i> = 10) using a MBDCap-seq database. Then, a validation cohort (<i>n</i> = 26) was used to confirm the results found in the MBDCap-seq platform. A differential methylation pattern was found between BC and cell lines compared to normal breast tissue. In BC, a higher DNA methylation was observed in tissues that were ERα-positive than in ERα-negative ones; more precisely, subtypes Luminal A compared to TNBC. Also, significant reverse correlation was observed between DNA methylation and <i>RPRM</i> mRNA expression in BC. Our data suggest that ERα expression in BC may affect the DNA methylation of CGIs in the <i>RPRM</i> gene. This approach suggests that DNA methylation status in CGIs of some tumor suppressor genes could be driven by E2 availability, subsequently inducing the activation of the ERα pathway.",U54,,,,,,,,,,,,,,,,,"DNAmethylation, breast cancer","Adult|Aged|Breast Neoplasms/genetics|Breast Neoplasms/metabolism|Breast Neoplasms/pathology|Cell Cycle Proteins/genetics|Cell Cycle Proteins/metabolism|CpG Islands|DNA Methylation|DNA, Neoplasm/genetics|DNA, Neoplasm/metabolism|Estrogen Receptor alpha/genetics|Estrogen Receptor alpha/metabolism|Female|Genes, Tumor Suppressor|Genome-Wide Association Study|Glycoproteins/genetics|Glycoproteins/metabolism|Humans|Middle Aged","Adult|Aged|Breast Neoplasms/genetics|Breast Neoplasms/metabolism|Breast Neoplasms/pathology|Cell Cycle Proteins/genetics|Cell Cycle Proteins/metabolism|CpG Islands|DNA Methylation|DNA, Neoplasm/genetics|DNA, Neoplasm/metabolism|Estrogen Receptor alpha/genetics|Estrogen Receptor alpha/metabolism|Female|Genes, Tumor Suppressor|Genome-Wide Association Study|Glycoproteins/genetics|Glycoproteins/metabolism|Humans|Middle Aged",aberr dna methyl hallmark mani current four intrins molecular subtyp breast bc lumin b her2 posit tripl neg tnbc recent genom atla tcga project reveal lumin subtyp higher genom wide methyl estrogenestrogen receptor α e2erα signal pathway analyz promot cpg island cgi reprimo rprm breast n 77 line n 38 normal breast tissu n 10 mbdcap seq databas valid cohort n 26 confirm mbdcap seq platform differenti methyl pattern bc line normal breast tissu bc higher dna methyl tissu erα posit erα neg precis subtyp lumin tnbc revers correl dna methyl rprm mrna bc erα bc affect dna methyl cgi rprm approach dna methyl statu cgi suppressor could driven e2 avail subsequ induc erα pathway.,Systems Analysis of Epigenomic Architecture in Cancer Progression
syn9773346,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29113562,J Bioinform Comput Biol,2017,Utilizing networks for differential analysis of chromatin interactions,"Liu L, Ruan J",U54 CA217297,,,"networks, Hi-C, chromatin","Chromatin conformation capture with high-throughput sequencing (Hi-C) is a powerful technique to detect genome-wide chromatin interactions. In this paper, we introduce two novel approaches to detect differentially interacting genomic regions between two Hi-C experiments using a network model. To make input data from multiple experiments comparable, we propose a normalization strategy guided by network topological properties. We then devise two measurements, using local and global connectivity information from the chromatin interaction networks, respectively, to assess the interaction differences between two experiments. When multiple replicates are present in experiments, our approaches provide the flexibility for users to either pool all replicates together to therefore increase the network coverage, or to use the replicates in parallel to increase the signal to noise ratio. We show that while the local method works better in detecting changes from simulated networks, the global method performs better on real Hi-C data. The local and global methods, regardless of pooling, are always superior to two existing methods. Furthermore, our methods work well on both unweighted and weighted networks and our normalization strategy significantly improves the performance compared with raw networks without normalization. Therefore, we believe our methods will be useful for identifying differentially interacting genomic regions.",U54,,,,,,,,,,,,,,,,,,Algorithms|Chromatin/genetics|Chromatin/metabolism|Computational Biology/methods|Genome|High-Throughput Nucleotide Sequencing|Histones/genetics|Histones/metabolism,Algorithms|Chromatin/genetics|Chromatin/metabolism|Computational Biology/methods|Genome|High-Throughput Nucleotide Sequencing|Histones/genetics|Histones/metabolism,chromatin conform captur high throughput sequenc hi c power techniqu detect genom wide chromatin interact paper introduc novel approach detect differenti interact genom region hi c experi network model make input multipl experi propos normal strategi guid network topolog properti devis measur local global connect inform chromatin interact network respect interact differ experi multipl replic present experi approach provid flexibl user either pool replic togeth therefor network coverag replic parallel signal nois ratio local work better detect chang simul network global better real hi c local global regardless pool alway superior exist furthermor work well unweight weight network normal strategi significantli improv raw network without normal therefor believ differenti interact genom regions.,Systems Analysis of Epigenomic Architecture in Cancer Progression
syn9773346,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29212856,Cancer Res,2018,Tamoxifen resistance in breast cancer is regulated by the EZH2-ER-GREB1 transcriptional axis,"Wu Y, Zhang Z, Cenciarini ME, Proietti CJ, Amasino MF, Hong T, Yang M, Liao Y, Chiang HC, Kaklamani V, Jeselsohn R, Vadlamudi RK, Huang TH, Li R, De Angelis C, Fu X, Elizalde PV, Schiff R, Brown M, Xu K",U54 CA217297,"https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103243 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103242 , https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92316",,"breast cancer, endocrine resistance, epigenetics","Resistance to cancer treatment can be driven by epigenetic reprogramming of specific transcriptomes in favor of the refractory phenotypes. Here we discover that tamoxifen resistance in breast cancer is driven by a regulatory axis consisting of a master transcription factor, its cofactor, and an epigenetic regulator. The oncogenic histone methyltransferase EZH2 conferred tamoxifen resistance by silencing the expression of the estrogen receptor α (ERα) cofactor GREB1. In clinical specimens, induction of DNA methylation of a particular CpG-enriched region at the <i>GREB1</i> promoter negatively correlated with <i>GREB1</i> levels and cell sensitivity to endocrine agents. GREB1 also ensured proper cellular reactions to different ligands by recruiting distinct sets of ERα cofactors to <i>cis</i>-regulatory elements, which explains the contradictory biological effects of GREB1 on breast cancer cell growth in response to estrogen or antiestrogen. In refractory cells, EZH2-dependent repression of GREB1 triggered chromatin reallocation of ERα coregulators, converting the antiestrogen into an agonist. In clinical specimens from patients receiving adjuvant tamoxifen treatment, expression levels of EZH2 and GREB1 were correlated negatively, and taken together better predicted patient responses to endocrine therapy. Overall, our work suggests a new strategy to overcome endocrine resistance in metastatic breast cancer by targeting a particular epigenetic program.<b>Significance:</b> This study suggests a new strategy to overcome endocrine resistance in metastatic breast cancer by targeting a particular epigenetic program defined within. <i>Cancer Res; 78(3); 671-84. ©2017 AACR</i>.",U54,,,,,,,,,,,,,,,,,"breast cancer, endocrine resistance, epigenetics","Animals|Apoptosis|Biomarkers, Tumor|Breast Neoplasms/drug therapy|Breast Neoplasms/genetics|Breast Neoplasms/pathology|Carcinogenesis|Cell Proliferation|DNA Methylation|Drug Resistance, Neoplasm/genetics|Enhancer of Zeste Homolog 2 Protein/genetics|Enhancer of Zeste Homolog 2 Protein/metabolism|Epigenesis, Genetic|Estrogen Antagonists/pharmacology|Estrogen Receptor alpha/genetics|Estrogen Receptor alpha/metabolism|Female|Follow-Up Studies|Gene Expression Regulation, Neoplastic|Humans|Mice|Mice, Nude|Neoplasm Proteins/genetics|Neoplasm Proteins/metabolism|Prognosis|Promoter Regions, Genetic|Tamoxifen/pharmacology|Transcription, Genetic|Tumor Cells, Cultured|Xenograft Model Antitumor Assays","Animals|Apoptosis|Biomarkers, Tumor|Breast Neoplasms/drug therapy|Breast Neoplasms/genetics|Breast Neoplasms/pathology|Carcinogenesis|Cell Proliferation|DNA Methylation|Drug Resistance, Neoplasm/genetics|Enhancer of Zeste Homolog 2 Protein/genetics|Enhancer of Zeste Homolog 2 Protein/metabolism|Epigenesis, Genetic|Estrogen Antagonists/pharmacology|Estrogen Receptor alpha/genetics|Estrogen Receptor alpha/metabolism|Female|Follow-Up Studies|Gene Expression Regulation, Neoplastic|Humans|Mice|Mice, Nude|Neoplasm Proteins/genetics|Neoplasm Proteins/metabolism|Prognosis|Promoter Regions, Genetic|Tamoxifen/pharmacology|Transcription, Genetic|Tumor Cells, Cultured|Xenograft Model Antitumor Assays",resist treatment driven epigenet reprogram specif transcriptom favor refractori phenotyp discov tamoxifen resist breast driven regulatori axi consist master transcript factor cofactor epigenet regul oncogen histon methyltransferas ezh2 confer tamoxifen resist silenc estrogen receptor α erα cofactor greb1 clinic specimen induct dna methyl particular cpg enrich region greb1 promot neg correl greb1 sensit endocrin agent greb1 ensur proper cellular reaction differ ligand recruit distinct set erα cofactor ci regulatori element explain contradictori biolog greb1 breast growth respons estrogen antiestrogen refractori ezh2 depend repress greb1 trigger chromatin realloc erα coregul convert antiestrogen agonist clinic specimen patient receiv adjuv tamoxifen treatment ezh2 greb1 correl neg taken togeth better predict patient respons endocrin therapi overal work new strategi overcom endocrin resist metastat breast target particular epigenet program new strategi overcom endocrin resist metastat breast target particular epigenet program defin within 78 671 aacr,Systems Analysis of Epigenomic Architecture in Cancer Progression
syn9773346,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28334224,Bioinformatics,2017,Computational modeling of in vivo and in vitro protein-DNA interactions by multiple instance learning,"Gao Z, Ruan J",U54 CA217297,,,"networks, TF-DNA","The study of transcriptional regulation is still difficult yet fundamental in molecular biology research. While the development of both in vivo and in vitro profiling techniques have significantly enhanced our knowledge of transcription factor (TF)-DNA interactions, computational models of TF-DNA interactions are relatively simple and may not reveal sufficient biological insight. In particular, supervised learning based models for TF-DNA interactions attempt to map sequence-level features ( k -mers) to binding event but usually ignore the location of k -mers, which can cause data fragmentation and consequently inferior model performance.",U54,,,not reported,Not Applicable,ChIP-seq,,,,,,,,,,,,"networks, TF-DNA",Binding Sites|Chromatin Immunoprecipitation/methods|Computational Biology/methods|Computer Simulation|DNA/chemistry|DNA/metabolism|Humans|Protein Binding|Supervised Machine Learning|Transcription Factors/chemistry|Transcription Factors/metabolism,Binding Sites|Chromatin Immunoprecipitation/methods|Computational Biology/methods|Computer Simulation|DNA/chemistry|DNA/metabolism|Humans|Protein Binding|Supervised Machine Learning|Transcription Factors/chemistry|Transcription Factors/metabolism,transcript regul still difficult yet fundament molecular biolog research vivo vitro profil techniqu significantli enhanc knowledg transcript factor tf dna interact comput model tf dna interact rel simpl reveal suffici biolog insight particular supervis learn base model tf dna interact attempt map sequenc featur k mer bind event usual ignor locat k mer caus fragment consequ inferior model performance.,Systems Analysis of Epigenomic Architecture in Cancer Progression
syn9773346,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28938868,BMC Genomics,2017,START: a system for flexible analysis of hundreds of genomic signal tracks in few lines of SQL-like queries,"Zhu X, Zhang Q, Ho ED, Yu KH, Liu C, Huang TH, Cheng AS, Kao B, Lo E, Yip KY",U54 CA217297,,,genomics,"A genomic signal track is a set of genomic intervals associated with values of various types, such as measurements from high-throughput experiments. Analysis of signal tracks requires complex computational methods, which often make the analysts focus too much on the detailed computational steps rather than on their biological questions.",U54,,,Liver,Liver Hepatocellular Carcinoma,Methylation Array,,,,,,,heterogeneity/evolution,,,,,genomics,"Carcinoma, Hepatocellular/genetics|Genomics/methods|Humans|Liver Neoplasms/genetics|Programming Languages","Carcinoma, Hepatocellular/genetics|Genomics/methods|Humans|Liver Neoplasms/genetics|Programming Languages",genom signal track set genom interv valu variou type measur high throughput experi signal track requir complex comput often make analyst focu much detail comput step rather biolog questions.,Systems Analysis of Epigenomic Architecture in Cancer Progression
