ROW_ID,ROW_VERSION,CSBC PSON Center,Consortium,PubMed,Journal,Publication Year,Title,Authors,Grant,Tool link,Other Data Location,SRA URLs,dbGaP URLs,GEO URLs,Synapse Location,Keywords,Abstract,grantType,datasets,studies,tissue_or_organ,diseaseType,experimentalStrategy,featured,dataset name,study name,doi,site,institution,Theme,modifiedOn,tissue_or_organ.sv,diseaseType.sv,experimentalStrategy.sv,Theme.sv,annotated.by,study.number,grantNumber,centerName
5214,196,syn17084095,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=30279173,Cancer Discov,2018,Remodeling of the collagen matrix in aging skin promotes melanoma metastasis and affects immune cell motility,"Kaur A, Ecker BL, Douglass SM, Kugel CH, Webster MR, Almeida FV, Somasundaram R, Hayden J, Ban E, Ahmadzadeh H, Franco-Barraza J, Shah N, Mellis IA, Keeney F, Kossenkov A, Tang HY, Yin X, Liu Q, Xu X, Fane M, Brafford P, Herlyn M, Speicher DW, Wargo JA, Tetzlaff MT, Haydu LE, Raj A, Shenoy V, Cukierman E, Weeraratna AT",U01 CA227550,,,,,,,,,U01,,,Skin,Melanoma,"Liquid Chromatography/Tandem Mass Spectrometry, 3D Cell Culture, Multiphoton Microscopy",,,,,,,"tumor-immune, microenvironment, metastasis",,Skin,,,,Sage,Not Applicable,CA227550,A plasticity and reprogramming paradigm for therapy resistance at the single cell level
5046,196,syn17084062,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29161592,Dev Cell,2017,Tumor-Suppressor Inactivation of GDF11 Occurs by Precursor Sequestration in Triple-Negative Breast Cancer,"Bajikar SS, Wang CC, Borten MA, Pereira EJ, Atkins KA, Janes KA",U01 CA215794,,,,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE85224,,,,U01,,,Breast,Carcinoma in situ of Breast,"3D Cell Culture, Murine Model, Brightfield Microscopy, Fluorescence Microscopy, Expression Array",,,,,,,metastasis,,Breast,,,,Center,Not Applicable,CA215794,An Integrated Systems Approach for Incompletely Penetrant Onco-phenotypes
5184,196,syn17084062,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29593296,Sci Rep,2018,Automated brightfield morphometry of 3D organoid populations by OrganoSeg,"Borten MA, Bajikar SS, Sasaki N, Clevers H, Janes KA",U01 CA215794,Code available in Supplemental File S1: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5871765/bin/41598_2017_18815_MOESM2_ESM.doc,,,,,,,,U01,,,"Breast, Colon","Carcinoma in situ of Breast, Carcinoma in situ of Colon","Computational Tool, 3D Cell Culture",,,,,,,,,"Breast, Colon",,,,Center,Not Applicable,CA215794,An Integrated Systems Approach for Incompletely Penetrant Onco-phenotypes
4647,196,syn9771796,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29093439,Nat Commun,2018,Combating subclonal evolution of resistant cancer phenotypes,"Brady SW, McQuerry JA, Qiao Y, Piccolo SR, Shrestha G, Jenkins DF, Layer RM, Pedersen BS, Miller RH, Esch A, Selitsky SR, Parker JS, Anderson LA, Dalley BK, Factor RE, Reddy CB, Boltax JP, Li DY, Moos PJ, Gray JW, Heiser LM, Buys SS, Cohen AL, Johnson WE, Quinlan AR, Marth G, Werner TL, Bild AH",U54 CA209978,,EGAS00001002436,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP064353,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73628,,"tumor heterogeneity, clonal evolution, scRNA-Seq",,U54,,,Breast,Carcinoma in situ of Breast,"Whole Genome Sequencing, Whole Transcriptome Sequencing, Whole Exome Sequencing, Single Cell DNA-Sequencing, Single Cell RNA-Sequencing, Single Nucleotide Polymorphism Array",,,,,,,"metastasis, heterogeneity/evolution",,Breast,,,,Center,1,CA209978,Cancer Systems Biology Center of HoPE (Heterogeneity of Phenotypic Evolution)
4935,196,syn9771796,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28871446,J Mol Med (Berl),2018,Mechanisms and clinical implications of tumor heterogeneity and convergence on recurrent phenotypes,"McQuerry JA, Chang JT, Bowtell DDL, Cohen A, Bild AH",U54 CA209978,,,,,,,,,U54,,,Not Applicable,Carcinoma in situ of Breast,,,,,,,,heterogeneity/evolution,,Not Applicable,,,,Center,1,CA209978,Cancer Systems Biology Center of HoPE (Heterogeneity of Phenotypic Evolution)
4949,196,syn9771796,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28446242,Genome Med,2017,Activity of distinct growth factor receptor network components in breast tumors uncovers two biologically relevant subtypes,"Rahman M, MacNeil SM, Jenkins DF, Shrestha G, Wyatt SR, McQuerry JA, Piccolo SR, Heiser LM, Gray JW, Johnson WE, Bild AH",U54 CA209978,,,https://trace.ncbi.nlm.nih.gov/Traces/sra/?study=SRP076235,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83083,,,,U54,,,Breast,Carcinoma in situ of Breast,Whole Transcriptome Sequencing,,,,,,,heterogeneity/evolution,,Breast,,,,Sage,1,CA209978,Cancer Systems Biology Center of HoPE (Heterogeneity of Phenotypic Evolution)
5022,196,syn9771796,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29769279,J Clin Microbiol,2018,Microbial Interactions in the Cystic Fibrosis Airway,"Granchelli AM, Adler FR, Keogh RH, Kartsonaki C, Cox DR, Liou TG",U54 CA209978,,,,,,,,,U54,,,Not Applicable,Not Applicable,Not Applicable,,,,,,,Not Applicable,,Not Applicable,,,,Sage,Not Applicable,CA209978,Cancer Systems Biology Center of HoPE (Heterogeneity of Phenotypic Evolution)
5040,196,syn9771796,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=29894664,J Oncol Pract,2018,Managing Patients With Relapsed Small-Cell Lung Cancer,"Gong J, Salgia R",U54 CA209978,,,,,,,,,U54,,,Lung,"Lung Carcinoma, Lung Small Cell Carcinoma",Not Applicable,,,,,,,drug resistance/sensitivity,,Lung,,,,Sage,Not Applicable,CA209978,Cancer Systems Biology Center of HoPE (Heterogeneity of Phenotypic Evolution)
5047,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=30232459,Nat Commun,2018,Differentiation-state plasticity is a targetable resistance mechanism in basal-like breast cancer,"Risom T, Langer EM, Chapman MP, Rantala J, Fields AJ, Boniface C, Alvarez MJ, Kendsersky ND, Pelz CR, Johnson-Camacho K, Dobrolecki LE, Chin K, Aswani AJ, Wang NJ, Califano A, Lewis MT, Tomlin CJ, Spellman PT, Adey A, Gray JW, Sears RC","U54 CA209997, U54 CA209988",,,,,,,,,U54,,,Breast,Carcinoma in situ of Breast,,,,,,,,heterogeneity/evolution,,Breast,,,,Center,,"CA209997, CA209988",Center for Cancer Systems Therapeutics (CaST)
4628,196,syn7315802,CSBC,https://www.ncbi.nlm.nih.gov/pubmed/?term=28331001,Mol Cell Proteomics,2017,Quantitative Tyrosine Phosphoproteomics of Epidermal Growth Factor Receptor (EGFR) Tyrosine Kinase Inhibitor-treated Lung Adenocarcinoma Cells Reveals Potential Novel Biomarkers of Therapeutic Response,"Zhang X, Maity T, Kashyap MK, Bansal M, Venugopalan A, Singh S, Awasthi S, Marimuthu A, Charles Jacob HK, Belkina N, Pitts S, Cultraro CM, Gao S, Kirkali G, Biswas R, Chaerkady R, Califano A, Pandey A, Guha U",U54 CA209997,,,,,,,"lung cancer, phosphoproteomics, tyrosine kinases",,U54,,,Lung,Carcinoma in situ of Bronchus and Lung,Mass Spectrometry,,,,,,,drug resistance/sensitivity,,Lung,,,"lung cancer, phosphoproteomics, tyrosine kinases",Sage,,CA209997,Center for Cancer Systems Therapeutics (CaST)
