Center for Cancer Systems Therapeutics (CaST)	Project	1	"Elucidating the regulatory logic that is responsible for maintaining cancer cell state, independent of specific initiating events and endogenous/exogenous perturbations"	"'[In project 1](https://systemsbiology.columbia.edu/cast-project-1), CaST is attempting to move beyond current approaches for elucidating tumor checkpoints and master regulators, which are largely static and not designed to predict how tumors respond to pharmacological and genomic perturbations over time. Thus, we are developing novel methodologies to mechanistically uncover the regulatory machinery that maintains cancer cell state and governs cell state transition. We are also working to define the role of regulatory networks in implementing distinct tumor phenotypes, from metastatic progression, to immunoevasion, to drug resistance. This effort will leverage and integrate time-course data from gene expression and computationally inferred protein activity profiles, generated by small molecules and RNAi/CRISPR perturbations.'"
Center for Cancer Systems Therapeutics (CaST)	Project	2	Elucidating time-dependent mechanisms of genetic and epigenetic reprogramming of individual cancer cells underlying cancer-state transitions to drug resistance and progression	"'[In project 2](https://systemsbiology.columbia.edu/cast-project-2), we are investigating cell state plasticity and tumor/microenvironment heterogeneity, which represent formidable obstacles to successful treatment of human malignancies. This interest is driven by a growing awareness that tumors can harbor distinct niches that include genetically distinct subclones (which have identical or distinct tumor checkpoints), as well as isogenic niches (which present with orthogonal checkpoints). Our goal is to compile a comprehensive inventory of tumor dependencies among such heterogeneous niches that can be targeted pharmacologically, We are studying these mechanisms by developing new methods to identify distinct tumor compartments and heterogeneity at the single-cell level.'"
Center for Cancer Systems Therapeutics (CaST)	Project	3	Developing novel methodologies for the systematic prioritization of compounds and compound combinations capable of abrogating tumorigenesis in vivo	"'[In project 3](https://systemsbiology.columbia.edu/cast-project-3), we are developing and validating computational methods for the prioritization of master regulator-targeting drugs and drug combinations to either implement or prevent specific tumor state transitions. This includes inducing irreversible commitment to cell death, preventing progression to a malignant tumor stage, and rescuing drug sensitivity. In addition, we are attempting to address a broad range of questions related to the heterogeneity of tumor response, including mechanisms that allow tumor cells to compensate for MR-targeted therapy. We propose that addressing tumor plasticity and potential escape routes implemented by tumor state reprograming is going to be critically relevant for the chronic management of cancer in patients.'"
Center for Cancer Systems Therapeutics (CaST)	Core	1	Molecular Profiling	"'A technical requirement for achieving CaST’s scientific goals is access to cost-effective, cutting-edge [molecular profiling](https://systemsbiology.columbia.edu/cast-molecular-profiling-core), high-throughput screening, and single-cell analysis tools utilizing robotics and microfluidics. The Molecular Profiling Core (MPC) provides three key capabilities: \n\n1) PLATESeq: a novel platform for integrating high-throughput screening with genome-wide expression profiling; \n2) microfluidics: a highly multiplexed, microfluidic implementation of PLATESeq that produces expression profiles across hundreds of single cells in parallel; \n3) single-cell whole genome sequencing: a pipeline that combines microscopy-based single cell isolation with whole genome amplification for single-cell whole genome sequencing.'"
Center for Cancer Systems Therapeutics (CaST)	Core	2	Outreach	"'In addition to pursuing research, CaST conducts [outreach](https://systemsbiology.columbia.edu/cast-outreach-core) to disseminate the software and methods developed by the Center, foster discussion on related issues within the larger scientific community, support community-based research efforts, and mentor young scientists. These activities include:\n\n1) supporting the DREAM challenges; \n2) a cross-training program to help investigators gain experience with complementary methods and perspectives; \n3) a “CaST Scholars” program that enables undergraduate students to participate in our research; \n4) organizing scientific meetings on related topics in cooperation with the New York Academy of Sciences Systems Biology Discussion Group.'"
CSBC Research Center for Cancer Systems Immunology at MSKCC	Project	1	Tumor-specific T cell state dynamics and heterogeneity in early tumorigenesis	"'CD8 T cells are powerful components of the immune system that have the potential to selectively eradicate cancer cells. However, in most patients, tumors progress relentlessly despite the presence of tumor-specific CD8 T cells. We developed a genetic cancer mouse model that faithfully mirrors cancer development in patients and revealed that tumor-specific CD8 T cells enter a state of dysfunction early during tumorigenesis. These T cells exhibited the hallmarks of dysfunctional T cells from late-stage human tumors. Early after tumor initiation, T cell dysfunction was plastic, but at later times, became fixed. Breakthrough therapies (immune checkpoint blockade) have emerged to reverse T cell dysfunction but these strategies have only worked in a subset of patients and a subset of tumor types. The goal of Project 1 is to understand the co-evolutionary cancer cell, stromal and immune population dynamics that control T cell differentiation to different functional states and consequently, T cell sensitivity to immunotherapeutic interventions. We will leverage the power of clinically-relevant genetic cancer mouse models to dissect the complex interplay of cancer genomic evolution, immune and stromal cell population dynamics, and the molecular mechanisms controlling CD8 T cell differentiation using innovative single-cell transcriptional and epigenetic analytic tools and powerful mathematical modeling approaches. By bringing together considerable expertise in cancer immune mouse modeling, computational methods, and clinical immune checkpoint blockade therapy, these approaches will provide new insights into T cell differentiation and could reveal novel strategies to unleash the precise power of tumor-specific CD8 T cells for cancer immunotherapy.'"
CSBC Research Center for Cancer Systems Immunology at MSKCC	Project	2	The tumor ecosystem in cancer progression and immunotherapeutic response	"'The goal of Project 2 is to identify the ecological interactions between cancer and immune cells that govern cancer dynamics and response to therapy. We start from the idea that a tumor can be considered an ecosystem or organ, where multiple accessory cell types are interconnected and communicate with each other and with tumor cells, which serve as their clients. Through systems analysis and modeling of functional interactions in the tumor ecosystem on different scales including cellular, protein, metabolite, and gene expression dynamics at a population and single cell levels this proposal will seek to identify key cellular and molecular regulatory elements in the tumor microenvironment and potential means of their manipulation for therapeutic benefit. We will a) explore features of, and relationships between, multiple accessory cell types and tumor cells, in experimental models of skin and lung cancer in mice and in human cancer patients; b) use perturbation of the tumor ecology impacting its progression in mice and human patients by established and novel immunotherapeutic modalities including PD-1 and CTLA-4 blockade and Treg cell depletion; c) validate key interaction components in the tumor ecosystem by modeling cell-cell interactions _in vitro_ using tissue mimetic systems and _in silico_ using agent-based models.'"
CSBC Research Center for Cancer Systems Immunology at MSKCC	Project	3	Latent metastasis: immune regulation of disseminated cancer stem cells	"'The goal of Project 3 is to discover mechanisms that critically regulate immune evasion by disseminated tumor cells (DTCs) and their evolution as latent metastatic entities. We will use an integrated approach that combines single-cell interrogation methods with unique biological models of latent metastasis from breast cancer and lung adenocarcinoma, and novel computational strategies. Distant metastasis underlies the overwhelming majority of cancer-related deaths and its inception is exceedingly variable. Residual DTCs may outgrow immediately or, more frequently, linger in a viable state of replicative quiescence or mass dormancy for months to years after infiltrating distant organs. This latency state of DTCs is accompanied with significant resistance to anti-neoplastic therapy, which typically targets actively dividing tumor cells. Moreover, latent DTCs somehow evade immune surveillance. The biology underlying these adaptive abilities remains poorly understood and factors governing DTC population dynamics, whether stochastic or deterministic, remain unknown. We aim to address this significant knowledge gap by combining massively parallel, single-cell RNA expression profiling using a bead-based molecular barcoding technology with unsupervised learning methods to identify stable/transitory cell states within latent, residual disease and their molecular control mechanisms. As a complementary approach, individual cell responses to molecular perturbations will be dynamically tracked by live cell imaging.'"
CSBC Research Center for Cancer Systems Immunology at MSKCC	Core	1	Single-cell sequencing technology and computational analysis 	"'The Research Center’s Shared Resource Core will provide a broadly applicable set of experimental technologies and computational tools for high-throughput single-cell RNA-seq (scRNA-seq) of heterogeneous populations. \xa0Single-cell resolution is crucial for elucidating the functional cell subpopulations in both the tumor and its immune microenvironment and moreover can be harnessed to elucidate regulatory relationships within and between these cell subpopulations. The Shared Resource will provide the computation, visualization and analysis methods needed to interpret the collected single cell data and integrate it with other measurement modalities.'"
CSBC Research Center for Cancer Systems Immunology at MSKCC	Core	2	Outreach	"'The CSBC Research Center for Cancer Systems Immunology at MSKCC outreach program will encompass undergraduate and graduate education and cross-training in systems biology and immunology, computational biology, and bioinformatics, and will focus on scientific outreach within the local, national and international scientific communities. Our local scientific community is strengthened by MSKCC’s close relationship with Weill Cornell Medical College and Rockefeller University under the Tri-Institutional partnership. Our Center will include this unique community in nearly all of our education and outreach efforts. The broad aim of the Outreach Core is to disseminate the importance of cancer-immune interactions in cancer progression and immunotherapy, both to the public as well as to the broad scientific community, with particular focus on students that will become the next generation of cancer systems biologists.'"
